__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch,/imu/orientation/roll,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2]
1725743151.973285,-0.006045712,0.008873782,-0.010112032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743151.973058462,9.536311051,1.222900181,10.000611380,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.074513,-0.005754094,0.008633671,-0.011184648,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.074279547,9.548614510,1.222180071,10.009489039,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.158894,-0.005141976,0.010512083,-0.009655873,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.158643007,9.545186161,1.208647409,10.031890516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.259964,-0.004702686,0.008986513,-0.010090566,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.259744167,9.544669497,1.221041234,10.027523627,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.383562,-0.005082581,0.013619589,-0.011307146,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.383050442,9.534831086,1.181732775,10.026537692,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.485352,-0.004672989,0.012472117,-0.011249280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.484879017,9.613737565,1.223151544,9.991316942,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.579339,-0.005067732,0.011498688,-0.010354345,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.579064846,9.556192513,1.203145596,10.029989526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.663732,-0.005331720,0.009013507,-0.011439036,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.663365364,9.442396793,1.156019820,10.051720837,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.764788,-0.006063254,0.009236458,-0.011914765,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.764477730,9.410646639,1.181554832,10.048216376,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.887008,-0.006295789,0.010680246,-0.011020166,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.886776209,9.502547441,1.172767162,10.028501498,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743152.991511,-0.005745902,0.008604285,-0.012105024,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743152.990976810,9.458684609,1.170768347,10.017446550,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1725743153.076129,-0.006137114,0.008632154,-0.009916215,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1725743153.075875044,9.463098408,1.170966449,10.043054330,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
